customer_id,age,gender,purchase_count,total_spent,avg_order_value,days_since_last_purchase,website_visits_30d,cart_adds_30d,discount_usage_rate,support_tickets_90d,customer_tenure_days,preferred_channel,region,returned_90d
C00167,33,Female,4,316.84,79.21,82,8.0,3,0.337,1,1406,Mobile,North,1
C00168,26,Male,6,597.7,99.62,13,13.0,4,0.555,0,316,Mobile,Central,1
C00169,34,Female,2,585.96,292.98,81,10.0,0,0.092,0,1351,Mobile,North,0
C00170,19,Male,6,1970.67,328.44,79,8.0,1,0.029,1,1455,Mobile,South,0
C00171,23,Female,3,632.16,210.72,15,10.0,4,0.146,0,91,Web,Central,0
C00172,22,Male,7,3007.41,429.63,109,10.0,2,0.313,2,536,Mobile,South,0
C00173,55,Male,7,698.08,99.73,25,11.0,7,,2,648,Mobile,South,1
C00174,52,Male,9,1322.06,146.9,23,6.0,2,0.18,1,542,Web,North,1
C00175,51,Female,11,1101.1,100.1,87,8.0,0,0.13,1,1018,Store,South,0
C00176,40,Female,6,996.99,166.16,18,10.0,6,0.185,2,74,Web,North,1
C00177,52,Male,5,1620.78,324.16,44,8.0,1,0.308,2,672,Web,South,1
C00178,25,Female,8,904.54,113.07,38,11.0,2,0.129,0,1257,Mobile,South,1
C00179,61,Female,11,597.4,54.31,33,5.0,4,0.042,0,935,Store,South,1
C00180,42,Male,11,1457.62,132.51,27,8.0,5,0.366,0,617,Store,Central,1
C00181,63,Female,8,437.18,54.65,190,5.0,4,0.11,0,1119,Store,South,0
C00182,25,Female,6,721.01,120.17,83,6.0,3,0.116,0,435,Web,North,1
C00183,41,Male,19,1618.2,85.17,30,7.0,1,0.23,1,1418,Web,South,1
C00184,51,Female,7,843.93,120.56,31,7.0,3,0.559,0,393,Web,South,1
C00185,41,Male,6,1248.62,208.1,66,11.0,1,0.236,1,199,Mobile,South,1
C00186,39,Female,5,1120.03,224.01,38,18.0,1,0.385,0,590,Mobile,South,0
C00187,25,Male,9,625.85,69.54,69,9.0,1,0.173,0,217,Web,South,0
C00188,36,Female,8,865.56,108.2,20,12.0,3,0.145,1,1067,Store,South,1
C00189,29,Male,6,421.06,70.18,57,10.0,1,0.536,1,522,Store,South,0
C00190,32,Female,6,1788.21,298.04,91,9.0,3,0.271,0,224,Web,South,0
C00191,50,Female,6,738.02,123.0,55,5.0,4,0.187,0,922,Web,North,0
C00192,48,Male,7,1871.71,267.39,41,9.0,3,0.475,1,1433,Mobile,North,0
C00193,47,Female,4,813.99,203.5,74,4.0,2,0.191,0,1304,Store,South,0
C00194,35,Female,7,1308.96,186.99,6,8.0,2,0.436,2,1076,Store,South,1
C00195,64,Female,6,425.88,70.98,90,11.0,3,0.252,1,808,Web,South,0
C00196,22,Male,8,1701.44,212.68,7,8.0,2,0.501,0,811,Web,North,1
C00197,34,Female,7,839.45,119.92,101,9.0,3,0.455,0,1057,Web,Central,0
C00198,23,Male,5,660.13,132.03,39,7.0,4,0.416,1,221,Mobile,South,0
C00199,34,Male,9,386.7,42.97,96,13.0,5,0.146,0,195,Mobile,South,1
C00200,64,Female,6,4023.22,670.54,111,7.0,3,0.153,1,308,Mobile,South,0
C00201,35,Female,5,331.02,66.2,42,4.0,3,0.193,1,778,Web,South,1
C00202,61,Female,7,2954.92,422.13,105,6.0,3,0.714,3,207,Mobile,North,0
C00203,41,Male,9,2407.05,267.45,63,8.0,3,0.172,0,648,Mobile,North,0
C00204,51,Female,7,313.66,44.81,74,7.0,2,,0,685,Store,South,0
C00205,39,Female,8,894.71,111.84,123,12.0,5,0.171,1,931,Web,Central,1
C00206,30,Male,3,840.02,280.01,68,7.0,3,0.363,0,862,Store,North,1
C00207,54,Female,12,913.74,76.14,96,7.0,3,0.239,0,741,Mobile,South,1
C00208,64,Male,6,1117.21,186.2,180,6.0,5,0.228,2,468,Mobile,South,0
C00209,30,Male,9,1891.34,210.15,95,10.0,1,0.147,1,233,Store,North,1
C00210,55,Female,3,373.99,124.66,39,5.0,3,0.379,1,612,Mobile,South,1
C00211,30,Female,7,845.2,120.74,64,7.0,2,0.055,0,572,Web,Central,1
C00212,52,Male,15,665.33,44.36,30,9.0,5,0.329,0,767,Web,North,1
C00213,55,Male,7,613.09,87.58,67,11.0,2,0.417,1,381,Mobile,South,1
C00214,39,Male,5,940.93,188.19,43,8.0,1,0.149,0,957,Web,North,1
C00215,53,Female,5,786.79,157.36,71,11.0,2,0.225,0,703,Mobile,South,0
C00216,31,Male,6,109.62,18.27,97,13.0,4,0.376,0,261,Web,North,1
C00217,21,Female,13,1128.93,86.84,30,15.0,8,0.145,1,868,Store,South,0
C00218,22,Female,7,187.36,26.77,56,12.0,4,0.206,0,1422,Web,North,0
C00219,39,Male,7,1763.25,251.89,23,6.0,4,0.235,0,626,Web,Central,1
C00220,61,Female,5,1009.21,201.84,31,5.0,1,0.253,0,461,Web,North,0
C00221,24,Female,2,741.5,370.75,62,10.0,1,0.472,3,655,Mobile,South,0
C00222,39,Female,7,303.42,43.35,40,6.0,4,0.613,0,328,Mobile,North,1
C00223,51,Male,8,1151.45,143.93,138,13.0,1,0.09,1,1436,Web,South,0
C00224,27,Male,11,896.43,81.49,10,8.0,5,0.226,3,1249,Store,South,1
C00225,52,Male,9,939.26,104.36,157,12.0,7,0.395,1,850,Mobile,North,0
C00226,32,Female,10,1029.88,102.99,95,9.0,1,0.14,2,875,Store,South,0
C00227,56,Female,6,1379.65,229.94,83,12.0,2,0.519,1,683,Store,South,0
C00228,45,Male,7,1125.93,160.85,91,7.0,3,0.341,0,758,Store,Central,0
C00229,44,Male,5,2299.09,459.82,90,4.0,0,0.069,0,1374,Web,South,0
C00230,26,Female,8,1376.91,172.11,38,10.0,4,0.616,1,1128,Store,South,1
C00231,40,Male,6,1107.68,184.61,99,11.0,0,0.163,0,47,Mobile,South,0
C00232,59,Male,6,966.16,161.03,66,7.0,3,0.232,0,680,Mobile,North,0
C00233,18,Female,4,463.24,115.81,12,8.0,3,0.245,0,253,Mobile,South,1
C00234,54,Male,7,268.13,38.3,31,14.0,4,0.03,0,403,Mobile,South,1
C00235,41,Male,11,88.89,8.08,24,8.0,1,0.477,0,1043,Mobile,South,1
C00236,52,Male,6,1328.46,221.41,47,8.0,4,0.46,0,53,Mobile,North,1
C00237,49,Male,7,906.86,129.55,7,7.0,2,0.423,2,204,Store,South,1
C00238,38,Female,5,1401.23,280.25,88,9.0,4,0.043,0,239,Mobile,North,0
C00239,32,Female,6,2204.06,367.34,99,6.0,3,,1,1131,Mobile,South,0
C00240,48,Female,10,848.04,84.8,37,13.0,5,0.597,0,409,Store,South,1
C00241,24,Male,10,320.74,32.07,72,9.0,0,0.246,0,1392,Mobile,North,1
C00242,46,Female,8,1667.53,208.44,142,6.0,2,0.126,3,822,Mobile,South,0
C00243,22,Male,8,795.85,99.48,40,9.0,5,0.222,1,1074,Web,South,0
C00244,49,Female,11,594.87,54.08,40,8.0,3,0.353,0,1305,Mobile,South,1
C00245,48,Male,9,559.67,62.19,45,7.0,2,0.447,0,1295,Web,South,0
C00246,22,Female,7,1319.38,188.48,83,7.0,3,0.012,0,103,Store,South,0
C00247,54,Male,8,1305.95,163.24,39,6.0,1,0.408,0,836,Mobile,North,1
C00248,37,Male,8,1921.52,240.19,45,11.0,4,0.078,1,496,Web,North,1
C00249,55,Female,6,399.09,66.52,81,6.0,2,0.106,1,1456,Web,South,0
C00250,19,Male,5,393.74,78.75,78,10.0,3,0.409,0,1226,Web,South,1
C00251,26,Male,9,1042.34,115.82,35,8.0,1,0.149,0,1173,Mobile,South,1
C00252,41,Female,8,1122.21,140.28,23,4.0,3,0.664,0,414,Mobile,North,1
C00253,27,Female,6,1761.0,293.5,41,10.0,2,0.203,3,1217,Mobile,South,1
C00254,33,Male,4,1840.91,460.23,49,15.0,6,0.134,0,1417,Store,North,0
C00255,49,Female,9,1014.6,112.73,63,4.0,1,0.122,3,1234,Mobile,South,0
C00256,24,Female,3,1915.98,638.66,55,6.0,1,0.217,1,256,Store,South,0
C00257,50,Female,6,882.91,147.15,18,13.0,0,,0,1498,Store,Central,1
C00258,22,Female,10,890.94,89.09,39,9.0,4,,4,503,Store,South,1
C00259,26,Female,11,778.32,70.76,8,,6,0.382,0,1339,Web,South,1
C00260,46,Female,7,379.22,54.17,63,8.0,1,0.504,0,645,Store,North,0
C00261,56,Female,7,253.55,36.22,22,5.0,1,0.208,1,450,Mobile,South,0
C00262,26,Female,5,1029.0,205.8,14,7.0,1,0.365,0,824,Mobile,South,1
C00263,32,Male,13,1687.72,129.82,43,6.0,4,0.121,1,888,Mobile,Central,1
C00264,62,Male,8,575.88,71.98,70,0.0,3,0.387,1,504,Web,South,0
C00265,65,Male,10,1821.74,182.17,54,10.0,7,0.131,0,818,Web,North,1
C00266,45,Female,4,2147.48,536.87,152,12.0,4,0.437,0,132,Mobile,South,0
C00267,39,Male,8,720.06,90.01,10,12.0,1,0.61,0,368,Web,North,1
C00268,34,Female,8,203.73,25.47,10,9.0,5,0.452,2,497,Mobile,North,1
C00269,47,Female,9,775.23,86.14,33,8.0,2,0.24,1,308,Mobile,South,1
C00270,46,Female,7,421.33,60.19,96,13.0,2,0.349,1,862,Mobile,North,0
C00271,32,Male,5,1694.61,338.92,36,7.0,5,0.278,0,1063,Store,South,0
C00272,19,Female,5,1062.25,212.45,25,6.0,1,0.284,2,1359,Mobile,North,0
C00273,25,Female,6,201.28,33.55,74,8.0,3,0.238,0,133,Mobile,North,1
C00274,64,Male,9,1249.59,138.84,39,9.0,0,0.626,0,1258,Mobile,South,1
C00275,38,Female,13,1765.92,135.84,121,10.0,4,0.088,0,202,Web,Central,1
C00276,41,Male,3,976.19,325.4,44,13.0,2,0.302,1,1176,Mobile,South,0
C00277,40,Female,9,668.02,74.22,97,13.0,1,0.129,1,860,Store,South,0
C00278,55,Female,6,1190.23,198.37,47,15.0,1,0.418,2,1467,Web,North,1
C00279,21,Male,7,2444.26,349.18,70,6.0,0,0.026,1,1405,Web,South,0
C00280,21,Male,5,1946.83,389.37,107,10.0,6,0.274,0,225,Store,North,0
C00281,31,Male,7,340.09,48.58,10,12.0,2,0.309,3,1014,Mobile,Central,0
C00282,41,Male,8,1053.79,131.72,7,6.0,4,0.194,1,1102,Web,South,1
C00283,50,Female,10,435.41,43.54,11,10.0,2,0.069,0,1317,Store,South,1
C00284,41,Male,5,657.46,131.49,23,6.0,1,0.136,2,754,Web,South,0
C00285,39,Male,5,2038.18,407.64,111,5.0,4,0.197,0,740,Mobile,Central,0
C00286,63,Female,5,1050.58,210.12,166,7.0,3,0.68,1,1400,Web,Central,0
C00287,25,Female,6,466.19,77.7,49,9.0,4,0.163,0,141,Store,South,0
C00288,45,Female,6,765.5,127.58,37,4.0,6,0.373,1,1414,Web,South,0
C00289,44,Female,5,1483.34,296.67,68,12.0,4,0.351,2,437,Mobile,South,0
C00290,40,Male,8,629.14,78.64,29,11.0,1,0.391,1,751,Store,South,1
C00291,56,Female,7,1088.48,155.5,65,12.0,4,0.436,2,633,Mobile,South,1
C00292,30,Male,8,665.54,83.19,108,10.0,4,0.334,0,1299,Web,Central,1
C00293,63,Female,10,714.28,71.43,68,5.0,2,0.103,0,1232,Web,Central,0
C00294,33,Female,3,2164.69,721.56,20,7.0,3,0.525,1,819,Mobile,South,1
C00295,44,Female,10,1026.98,102.7,48,12.0,3,0.276,1,1290,Web,South,1
C00296,42,Female,8,1326.57,165.82,179,4.0,3,0.477,1,1253,Store,North,0
C00297,58,Female,8,1014.85,126.86,74,14.0,3,0.51,0,358,Web,North,1
C00298,39,Male,9,290.01,32.22,35,10.0,3,0.231,0,1467,Mobile,South,1
C00299,31,Female,8,403.1,50.39,29,8.0,4,0.114,1,1432,Mobile,North,1
C00300,19,Female,10,2157.66,215.77,34,7.0,1,0.042,1,767,Mobile,South,1
C00301,35,Female,9,2017.6,224.18,90,6.0,1,0.265,1,1233,Web,South,0
C00302,57,Female,5,992.27,198.45,62,5.0,5,,0,1143,Mobile,Central,1
C00303,18,Male,4,521.71,130.43,22,7.0,2,0.143,1,886,Store,North,1
C00304,61,Female,5,241.13,48.23,104,7.0,7,0.482,0,948,Mobile,North,0
C00305,44,Male,6,3189.52,531.59,175,2.0,6,0.438,0,1216,Web,South,0
C00306,24,Male,4,384.88,96.22,64,9.0,3,0.063,1,1012,Mobile,Central,0
C00307,32,Male,11,553.87,50.35,117,5.0,1,0.141,0,870,Mobile,North,1
C00308,44,Female,5,623.3,124.66,19,10.0,2,0.213,0,1008,Mobile,South,1
C00309,33,Male,9,513.61,57.07,46,8.0,5,0.198,3,1426,Web,Central,1
C00310,23,Male,6,936.0,156.0,17,10.0,1,0.041,1,1167,Mobile,North,1
C00311,49,Male,4,2963.53,740.88,92,10.0,3,0.343,2,92,Mobile,North,0
C00312,50,Female,11,842.57,76.6,53,11.0,0,0.215,0,387,Web,Central,1
C00313,23,Female,6,1142.71,190.45,7,11.0,3,0.133,1,460,Mobile,South,0
C00314,31,Male,6,1387.99,231.33,20,8.0,5,0.287,0,734,Store,South,1
C00315,29,Male,8,1604.76,200.6,48,9.0,3,0.153,1,1370,Store,Central,1
